📺江苏联通IPTV,#genre#
CCTV-13,http://122.96.52.98:8006/JS_CUCC/CCTV-13.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObewS3HKg8%2BMgodXaFPxcVK2Abs%2ByF7b29hFRLV23f6Vj&p=GITV&area=JS_CUCC
CCTV-14,http://122.96.52.98:8006/JS_CUCC/G_CCTV-14.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObfv32ndBAs%2BURYKO8Lyfaw5A88ImaGrEXKQd988k5Fta&p=GITV&area=JS_CUCC
CCTV-15,http://122.96.52.98:8006/JS_CUCC/G_CCTV-15.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObUxDTsC59RzrMdh5OAIhXS1A88ImaGrEXKQd988k5Fta&p=GITV&area=JS_CUCC
北京卫视高清,http://122.96.52.98:8006/JS_CUCC/BTV-1.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObdK20IwwnZWhWa0n4KFJVnrhCsZiWNVb%2B9ug3Ov%2B5E3U&p=GITV&area=JS_CUCC
江苏卫视,http://122.96.52.98:8006/JS_CUCC/JSWS-HD.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObZof8tNuJuySdReWh3YUnF6Abs%2ByF7b29hFRLV23f6Vj&p=GITV&area=JS_CUCC
CCTV-16,http://122.96.52.98:8006/JS_CUCC/G_CCTV-16-HQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObZrOy1thJK05Ys6n3CjtSJlGKeaO2aAlaWudQHq20cv%2F&p=GITV&area=JS_CUCC
CCTV-4超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-4-HQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObSyUtbqV08RJJPfu%2FDkJYXff6LFp8JZYl5Kgiz5XKHWq&p=GITV&area=JS_CUCC
CCTV-6超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-6-HQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObQ9KBezwHrEGtCP7MTMagUrf6LFp8JZYl5Kgiz5XKHWq&p=GITV&area=JS_CUCC
重庆卫视,http://122.96.52.98:8006/JS_CUCC/G_CHONGQING.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObXG%2BqFHtbWQgabBvb3gRqELf6LFp8JZYl5Kgiz5XKHWq&p=GITV&area=JS_CUCC
贵州卫视,http://122.96.52.98:8006/JS_CUCC/G_GUIZHOU.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObcfLv503fji0ebMSqhuN24BA88ImaGrEXKQd988k5Fta&p=GITV&area=JS_CUCC
吉林卫视,http://122.96.52.98:8006/JS_CUCC/G_JILIN.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObeaaAzJYYghHH3NBkpiBpIGAbs%2ByF7b29hFRLV23f6Vj&p=GITV&area=JS_CUCC
湖北卫视,http://122.96.52.98:8006/JS_CUCC/G_HUBEI.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObbvntNhYy4ZbhZtInosj60SAbs%2ByF7b29hFRLV23f6Vj&p=GITV&area=JS_CUCC
河北卫视,http://122.96.52.98:8006/JS_CUCC/G_HEBEI.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObbzZD%2B3oIr%2FxvNZHFqT5tLri3f3QwGxdnQcIl91Kdyzz&p=GITV&area=JS_CUCC
CCTV-8超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-8-HQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObWDXAf1GXMSkH6rtD4CFqZT2UXBc8DljGBxak6NI%2BRVc&p=GITV&area=JS_CUCC
江苏卫视高清,http://122.96.52.98:8006/JS_CUCC/G_JIANGSU-HD.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObVCWthYRb1KKeprmYzrIdHo8l%2F60LexzWEQuxU9%2F0lKG&p=GITV&area=JS_CUCC
CCTV2财经频道,http://122.96.52.98:8006/JS_CUCC/G_CCTV-2-HQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObXH9HX6H2nSIGmwe4dE50mf2UXBc8DljGBxak6NI%2BRVc&p=GITV&area=JS_CUCC
CCTV-3超清,http://122.96.52.98:8006/JS_CUCC/G_CCTV-3-HQ.m3u8?Authinfo=BM%2BIYnpsBF8xf1DAR0cObbA3Cn6AdZzUbXXEzT92tif2UXBc8DljGBxak6NI%2BRVc&p=GITV&area=JS_CUCC
